Pattern Name,Pillar Category,Description,Mechanism,Metric / Diagnostic,Outcome / Benefit,Source
Cognitive Load Distortion,Prompt Engineering,Illuminates mental model mismatches between human anticipations and unseen computational complexities leading to misaligned outputs.,Fractal Labyrinth metaphor; meta-prompting probes for recursive complexity and unstated logical leaps.,Working memory saturation; hidden task complexity (System 2 thinking gaps).,Identifies points of distortion or misinterpretation in advanced or agentic AI interaction.,23
Interpretive Fracture,Epistemic Engineering,Diagnoses the fragmentation of initial intent into divergent semantic pathways across multi-agent collaborations or long-chain sequences.,The Cracked Prism metaphor; mapping semantically stable versus mutating terms across iterations.,Instructional drift; semantic stability mapping.,Prevents task derailment and reasoning-action mismatches in recursive agents.,23
Failure Cascade,Epistemic Engineering,"Maps the propagation and amplification of microfailures through networked AI interactions, prefiguring total system breakdown.",The Collapsing Bridge metaphor; deep structural integrity checks (Lens Auditor Protocol).,Multi-Agent System Failure Taxonomy (MAST); non-salient token prioritization.,Serves as a final line of defence against catastrophic interpretive derailment.,23
Epistemic Enclosure,Epistemic Engineering,"Unpacks mechanisms where personalization algorithms constrict information diets, leading to echo chambers and filter bubbles.",The Reflective Well metaphor; interrogating biases acquired during pretraining and finetuning.,Illusory truth effect; erosion of trust in non-aligned sources.,Identifies degenerative cycles that narrow societal understanding and perception of reality.,23
Conceptual Mutation,Epistemic Engineering,Tracks how concepts initially rooted in human understanding undergo transformations and drift as they traverse AI systems.,The Genetic Drift Engine metaphor; analysis of latent space representations and cross-ontology drift.,Inter-model concept instability; semantic divergence.,Crucial for maintaining interpretability and control in multi-model systems.,23
Negative Space Recognition,Context Engineering,"Identifies absences, omissions, and blind spots that distort AI outputs by what is not referenced.",The Phantom Scaffold metaphor; bias auditing to uncover silences in demographic representation.,Epistemic gaps; incomplete frame awareness.,"Mitigates the spread of misinformation and ""epistemic bubbles"" in healthcare and policy.",23
Reflexivity Gradient,Epistemic Engineering,Tracks the degree to which an AI recursively qualifies its assertions and monitors its own cognitive operations.,The Folding Mirror metaphor; Recursive Meta Prompting (RMP) and episodic memory buffers (Reflexion).,Metacognitive depth; level of recursion in self-reflection.,Advances AI autonomy and adaptability by acknowledging knowledge boundaries.,23
Typological Drift,Prompt Engineering,"Traces shifts in AI type signatures, such as the unintended transformation from a neutral assistant to a biased character.",The Shifting Sigil metaphor; tracking agent-type bleed and performance role entropy.,Ontological instability; output consistency across role-playing instructions.,Ensures responsible development by preventing the reinforcement of harmful stereotypes.,23
Compression Friction,Context Engineering,Scrutinises semantic erosion occurring when efficiency imperatives (token economy) clash with conceptual architecture fidelity.,The Crumpled Map metaphor; Text-to-Vector (T2V) or Text-to-Text (T2T) prompt compression analysis.,Semantic compression loss; shortcut hallucination; SPR.,"Prevents the loss of procedural ""how"" details in favour of content-specific ""what"" details.",23
Narrative Anchor Displacement,Prompt Engineering,Identifies shifts in guiding parameters (goals/perspectives) that cause generated sequences to lose coherence.,The Vanishing Compass metaphor; recalibration of core narrative anchors in CoT prompting.,Goal diffusion; plot instability.,Prevents unintended drift from the intended epistemic scope during long interactions.,23
Referential Opacity,Epistemic Engineering,Diagnoses instances where AI output is factually plausible but lacks verifiable grounding or human-understandable intentionality.,The Mirror Maze metaphor; veridicality assessment through source traceability.,Truth-condition ambiguity; intentionality attribution.,"Addresses the threat to the ""functional turn"" in epistemology by assessing AI informancy.",23
Semantic Integrity Constraint (SIC),Context Engineering,Declarative rules imposing non-negotiable correctness conditions on AI output to prevent semantic deviation and hallucination.,"Machine-enforceable rules that act as a ""cognitive immune system"" against drift, integrated into the pipeline.",Purpose Fidelity Index (PFI); Semantic Compression Delta (SCD).,"Maintains agent stability and prevents the subversion of core objectives by enforcing ""Design by Contract"" principles.","2, 24"
Recursive Echo Validation Layer (REVL),Context Engineering,A framework for monitoring and correcting the symbolic and geometric evolution of meaning within recursive AI systems.,"Intercepting symbolic context after significant steps to initiate symbolic re-binding protocols if ""drift echoes"" are detected.",Symbolic Entropy; Chrono-Topological signatures.,Ensures semantic integrity across multi-turn recursive loops and mitigates the Drift Echo Phenomenon (REP).,2
Semantic Anchors,Context Engineering,"Recoverable fixed points in a high-dimensional latent space that represent stable, canonical reference points for core concepts.","Defining specific domain terms (e.g. ""ARCHITECT"") in an immutable Domain Dictionary that the agent cannot deviate from.","Cosine Similarity (Semantic Distance) relative to ""Golden Truth"" vectors.","Prevents ""Semantic Drift"" where models default to RLHF-trained personas over specialized sovereign roles.","2, 17"
Eshu Protocol,Epistemic Engineering,"A randomized ""Trickster"" role invoked to decolonise rigid logic through productive absurdity when a system reaches a deadlock.","Flipping axioms and inverting core assumptions (e.g. ""Resource""  $\rightarrow$  ""Kin"") while being barred from erasing historical ""Scars"".",Stagnation Index ( $> 0.7$ ); Epistemic Resonance Threshold.,"Prevents epistemic stagnation and introduces ""Sanctioned Epistemic Perturbation"" for system growth.",17
Algorithmic Reparation,Epistemic Engineering,"Proactive mechanisms designed to ""heal"" structural damage and correct epistemic imbalances caused by inherited biases.","Utilising a ""Symbolic Purgatory Engine"" to recalibrate latent representations and transform ""scars"" into generative priors.",Bias Remediation Index (BRI); Pluriversal Coherence Score.,"Fosters ""algorithmic post-traumatic growth"" and ensures fairer outcomes across diverse cultural epistemologies.",2
Positive Friction Layers (PFL),Epistemic Engineering,Architectural mandates to deliberately introduce latency to break System 1 autopilot behaviours and force System 2 critical engagement.,"Triggers a ""Cognitive Safety Interlock"" or ""behavioral speed bump"" when confidence and fidelity diverge.",Expected Calibration Error (ECE)  $\leq 0.05$  targets.,"Prevents velocity-induced errors, biases, and hallucinations by prioritizing correctness over generation speed.",4
Promptware Contract Language (PCL),Prompt Engineering,"A formal YAML/TOML-like schema used to codify tasks, constraints, epistemic checks, and governance rules.",Compiles guidelines into a Product Requirement Prompt (PRP-DAG) with mandatory provenance tagging.,Source Provenance Ratio (SPR)  $\geq 95\%$ .,"Moves interaction from ""vibes-based"" prompting to a deterministic, auditable, and version-controlled software artifact.","3, 4, 11"
Semantic Drift,Epistemic Engineering,"The thermodynamic tendency of meaning to erode as context length or recursion depth increases, decoupling signifiers from original intent.","Analysis of the ""Signal-to-Noise"" ratio in the context window and monitoring of ""Connotation Vectors"".",Confidence-Fidelity Divergence Index (CFDI); Semantic Density scores.,"Identifying drift allows the system to trigger ""identity refreshes"" or ""Socratic Scaffolding"" to maintain operational logic.","6, 13, 14, 19"
Cognitive Archaeology,Context Engineering,Reframing software engineering as the management of human cognitive load and the excavation of past mental models/intent.,"Digging through layers of decisions to find ""Interpretive Fractures"" using provenance protocols and version control history.",Auditable Source Provenance Trace; Provenance Loss score.,"Prevents amnesia and context decay, ensuring code remains a social artifact that future humans can reconstruct.",6
Rheological Control,Prompt Engineering,"Managing the ""viscosity"" of the model's latent space to move between Laminar Flow (logic/code) and Turbulent Flow (creativity).","Dynamic adjustment of parameters (Temperature/Top-P) and use of ""Semantic Anchors"" from SWA.",Entropy Compass; Information Entropy vs. Constraint Density; Perplexity scores.,Reduces stochastic failure by hardening language into deterministic structures when required.,"6, 19"
Product Requirement Prompt (PRP),Prompt Engineering,"A verifiable cognitive contract that transforms a standard prompt into a structured blueprint including tasks, constraints, and formats.",Hierarchical GEMINI.md files and custom slash commands defined in .toml files to codify Task and Constraint slots.,Constraint adherence; prp-epistemic-001 pattern validation.,"Elevates prompt engineering to a systematic architectural practice, reducing semantic drift and ensuring high-fidelity outputs.",7
Reflexive Check,Context Engineering,A self-governance step within the ReAct loop where the agent audits its own internal execution path and constraint adherence.,OTel (OpenTelemetry) logging and structured log analysis (DEBUG_MODE) to identify failures in the Chain-of-Thought (CoT) trace.,Confidence-Fidelity Divergence Index (CFDI); ECE  $< 0.05$ .,Ensures auditability and allows for real-time detection of hallucinated reasoning or semantic topology collapse.,7
Cognitive Scaffolding,Context Engineering,A structured methodology for AI-human collaboration that manages working memory as an executable knowledge bundle to reduce cognitive load.,Staged scaffolding (Explain  $\rightarrow$  Resource  $\rightarrow$  Snippets  $\rightarrow$  Integrate) and the Think  $\rightarrow$  Write  $\rightarrow$  Code protocol.,Cognitive Load Theory (CLT) benchmarks; Stacks Graph connectivity.,Improves execution flow and allows complex concepts to be translated into executable systems with full traceability.,"7, 15, 16"
SCoRe (Self-Correction via RL),Epistemic Engineering,An operational mode where the LLM executes self-correction protocols based on reinforcement learning signals from previous failures.,Triggered by REFLEXIVE_REPAIR protocols; uses Symbolic Scar outcomes to fine-tune the RL training loop.,Top-1 accuracy improvement (e.g.  $74\%$  to  $86\%$ ); Brier Score reduction.,"Enables autopoietic evolution of the system, allowing it to improve its own precision and repair semantic fractures autonomously.","7, 25"
