Name,Description,Problem,Usage(s),Examples
Law of Common Region,Objects that are physically fenced together are perceived as being related or belonging to the same category. Having a visual boundary or border around elements emphasizes common region among them.,Sense-making,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering law of common region. • Applied during pricing page considering law of common region. • Applied during checkout considering law of common region. • Applied during search & filters considering law of common region. • Applied during notifications considering law of common region.
Law of Proximity,Objects that are close in spatial proximity are perceived to be related elements. These close objects are considered to have similar functionality.,Filtering,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering law of proximity. • Applied during pricing page considering law of proximity. • Applied during checkout considering law of proximity. • Applied during search & filters considering law of proximity. • Applied during notifications considering law of proximity.
Law of Prägnanz,Simpler objects have an easier time being processed and needs the least cognitive effort. Complex objects and shapes are often simplified by the eye.,Sense-making,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering law of prägnanz. • Applied during pricing page considering law of prägnanz. • Applied during checkout considering law of prägnanz. • Applied during search & filters considering law of prägnanz. • Applied during notifications considering law of prägnanz.
Law of Similarity,Users tend to perceive elements that are visually similar to each other as being related. This can occur because users are naturally attracted to the visual similarity of elements and will group related items together as having similar function or meaning.,Sense-making,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering law of similarity. • Applied during pricing page considering law of similarity. • Applied during checkout considering law of similarity. • Applied during search & filters considering law of similarity. • Applied during notifications considering law of similarity.
Law of Uniform Connectedness,"Users will perceive elements that are connected by a uniform visual element as being related to each other. Visual connections with lines, frames, shapes, arrows, and colors can establish this connection.",Sense-making,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering law of uniform connectedness. • Applied during pricing page considering law of uniform connectedness. • Applied during checkout considering law of uniform connectedness. • Applied during search & filters considering law of uniform connectedness. • Applied during notifications considering law of uniform connectedness.
Miller’s Law,On average users can hold around 7 items in their short-term memory at once. Within design this is the amount of information present to a user at any given time.,Recall,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering miller’s law. • Applied during pricing page considering miller’s law. • Applied during checkout considering miller’s law. • Applied during search & filters considering miller’s law. • Applied during notifications considering miller’s law.
Nudging,"The use of subtle cues to influence people's behavior in a desired direction. Often through the use of visual or verbal cues, or through the positioning or arrangement of elements.",Filtering,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering nudging. • Applied during pricing page considering nudging. • Applied during checkout considering nudging. • Applied during search & filters considering nudging. • Applied during notifications considering nudging.
Occam’s Razor,"When presented with multiple explanations for a phenomenon, the simplest explanation is most likely to be correct. Avoiding complexity in favor of clarity and simplicity in design.",Sense-making,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering occam’s razor. • Applied during pricing page considering occam’s razor. • Applied during checkout considering occam’s razor. • Applied during search & filters considering occam’s razor. • Applied during notifications considering occam’s razor.
Ownership Bias,"Free trials are based on ownership bias. When you get to try out for a product, which requires to create an account, add data, after a while you will value it more and maybe lean on paying it.",Sense-making,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering ownership bias. • Applied during pricing page considering ownership bias. • Applied during checkout considering ownership bias. • Applied during search & filters considering ownership bias. • Applied during notifications considering ownership bias.
Pareto Principle,The idea that 80% of the effects come from 20% of input. Largest effort goes into small subset that yields the most for users.,Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering pareto principle. • Applied during pricing page considering pareto principle. • Applied during checkout considering pareto principle. • Applied during search & filters considering pareto principle. • Applied during notifications considering pareto principle.
Parkinson’s Law,"Work will end up taking the time allocated towards it. Even work that can be done in a day, can take a week if that is the deadline give.",Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering parkinson’s law. • Applied during pricing page considering parkinson’s law. • Applied during checkout considering parkinson’s law. • Applied during search & filters considering parkinson’s law. • Applied during notifications considering parkinson’s law.
Peak-End Rule,"User's overall evaluation of an experience is based on the most intense point and the end of the experience. Leading to the consideration of the emotional impact of distinctive design elements, and by designing for positive peak and end experiences.",Recall,"Engineer a strong end state in flows (e.g., celebratory screen).; Place delightful moments near the end of experiences.",Confetti/checkmark screen after successful payment. • Thank-you page offers meaningful next steps. • Issue resolution ends with a human note and small perk. • Post-survey summary highlights user impact. • Order tracking culminates in a satisfying delivery confirmation.
Picture Superiority Effect,Information is more easily remembered when presented in a picture form rather than when it is written or verbal. Often visual elements can be more engaging and convey abstract concepts with ease.,Recall,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering picture superiority effect. • Applied during pricing page considering picture superiority effect. • Applied during checkout considering picture superiority effect. • Applied during search & filters considering picture superiority effect. • Applied during notifications considering picture superiority effect.
Planning Fallacy,The tendency for the mind to underestimate the time and resources needed to complete a task or project. Often time is not given to setbacks or unexpected delays.,Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering planning fallacy. • Applied during pricing page considering planning fallacy. • Applied during checkout considering planning fallacy. • Applied during search & filters considering planning fallacy. • Applied during notifications considering planning fallacy.
Postel's Law,"Be flexible on the input you accept from users, and conservative in what you do with that information.

Takeaways:
1. Be empathetic to, flexible about, and tolerant of any of the various actions the user could take or any input they might provide.
2. Anticipate virtually anything in terms of input, access, and capability while providing a reliable and accessible interface.
3. The more we can anticipate and plan for in design, the more resilient the design will be.
4. Accept variable input from users, translating that input to meet your requirements, defining boundaries for input, and providing clear feedback to the user.",Sense-making,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering postel's law. • Applied during pricing page considering postel's law. • Applied during checkout considering postel's law. • Applied during search & filters considering postel's law. • Applied during notifications considering postel's law.
Priming,Priming is the use of small hints to help people retain information in their short-term memory in order to influence their decision-making just before another chunk of information is introduced.,Filtering,Prime users with examples that set the right mental model.; Use consistent iconography to cue expected actions.,Template gallery shows quality level before creation. • Empty state illustrates a filled chart to suggest format. • Search placeholder suggests query syntax. • Iconography aligns with platform conventions. • Onboarding quiz frames categories users will later choose.
Progressive Disclosure,"The practice of revealing information to users gradually, as they need it. This can be done with menus, tabs, or other design elements that allow users to access additional information or features as needed, rather than presenting all of the information or options at once.",Filtering,Hide advanced options until needed to reduce cognitive load.; Use accordions/details for optional settings.,“Advanced filters” collapsible on search. • Payment form hides invoice fields until 'Company' is selected. • ‘More details’ reveals tech specs on PDP. • Expandable rows in a table for secondary metrics. • Tooltip reveals power-user shortcuts on hover.
Projection Bias,"We think that what we believe and feel how will be the same way we feel and believe in the future. When asking a person about a possible future buy of a product, you should be mindful they're really responding from what they're needing and feeling about it right now (which might change in the future).",Sense-making,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering projection bias. • Applied during pricing page considering projection bias. • Applied during checkout considering projection bias. • Applied during search & filters considering projection bias. • Applied during notifications considering projection bias.
Second-Order Effect,"The effects of a design decision or feature can have unintended consequences on other parts of the product or interface. This can occur because unique design elements or features are often interconnected, and a change to one element can have a ripple effect on other parts of the product.",Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering second-order effect. • Applied during pricing page considering second-order effect. • Applied during checkout considering second-order effect. • Applied during search & filters considering second-order effect. • Applied during notifications considering second-order effect.
Serial Position Effect,Users tend to remember items that are presented at the beginning or end than those presented in the middle. This being that initial and final impressions leave a lasting impression on our long-term memory compared to the middle.,Recall,Place key items at start or end of lists/menus.; Use 'featured' slots to overcome middle neglect.,"Important settings pinned at top. • Featured products in first row of grid. • Checkout CTAs at top and bottom on long pages. • First and last items in a carousel are strongest. • Nav puts 'Home' first, 'Profile' last."
Social Proof,"The instinct of users to look at others for signals on how to make decisions. Showing conformity through ratings, reviews, or testimonials is an example of social proof in design.",Sense-making,"Surface counts, ratings, and testimonials near key decisions.; Show 'trending' and 'often bought with' signals on PDPs.","“2,341 people bought this in the last 30 days.” • Star rating and review count above the fold. • “Popular in Barcelona” label on local experiences. • Real-time “X are viewing/added to cart” nudges (non-deceptive). • Logos of well-known clients on the landing page."
Sunk Cost Effect,"The tendency for people to continue investing time, money, or effort into something that has demonstrated poor return on investment. In order to avoid a sense of loss by abandoning something, many will continue to pursue it in order to avoid this feeling.

How it affects design
1. It's common that we don't we stop working on projects that aren't working, instead of letting them go.

References
Arkes and Blumer from 1985 The Psychology of Sunk Cost, asked this question in a study: “You have spent $100 on a ticket for a weekend ski trip to Michigan. Several
weeks later you buy a $50 ticket for a weekend ski trip to Wisconsin.

You think you will enjoy the Wisconsin ski trip more than the Michigan ski
trip. Suddenly you realized your just-purchased Wisconsin ski trip is the
same weekend as the Michigan trip! It’s too late to sell either ticket, and you
cannot return either one. You must use one ticket and not the other. Which
ski trip will you go on?

$100 ski trip to Michigan OR $50 ski trip to Wisconsin?”


Almost all people answered the Wisconsin trip, since they where balancing about the enjoyment vs. the sunk cost of $50 for not choosing Michigan. ",Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering sunk cost effect. • Applied during pricing page considering sunk cost effect. • Applied during checkout considering sunk cost effect. • Applied during search & filters considering sunk cost effect. • Applied during notifications considering sunk cost effect.
Tesler’s Law,"As a system becomes more complex, the number of features it can support becomes restricted. Complexity inhibits a user’s ability to effectively navigate a product or interface.",Filtering,Move unavoidable complexity to where expertise is highest.; Automate repetitive tasks; keep core flows simple.,Bulk edit tools for admins; simple edit for end users. • Wizards for complex configurations. • Smart defaults replace manual field entry. • APIs handle complexity not exposed in UI. • Contextual help embeds where complexity remains.
Von Restorff Effect,Users often remember and notice items that stand out or are different from their surroundings. This can occur because people are naturally drawn to novel or unusual stimuli.,Filtering,Make critical items visually distinct to improve recall.; Use contrast sparingly to avoid noise.,Destructive button styled uniquely (outline + icon). • Current step highlighted differently in a wizard. • Promo code field visually distinct in checkout. • Critical alerts use a unique component style. • Active filter chips contrasted against others.
Weber’s Law,The perceived difference between two stimuli is proportional to the magnitude of the stimuli. In others words a large change is more noticeable in comparison to incremental changes made to a product or design that would go unnoticed.,Efficiency,Make changes perceptible; small deltas may go unnoticed.; Scale feedback proportionally to change magnitude.,Slider increments large enough to feel different. • Price change badges only for meaningful deltas. • Progress bars move perceptibly on action. • Animation duration increases with distance moved. • Graph y-axes set to reveal true differences.
Zeigarnik effect,Users often remember or think about uncompleted goals more than ones that are finished. Incomplete tasks often create a cognitive load that demands more attention.,Recall,Surface incomplete tasks to pull users back to finish.; Send gentle reminders about in-progress flows.,"Banner: “Finish setting up billing (2 steps left).” • Inbox shows draft count, inviting completion. • Wizard resumes at saved step with 'Continue' CTA. • Cart persists with items and a “Complete checkout” prompt. • Profile shows incomplete sections in a checklist."
